tweet_id,term,pos,pos_fre,neg_fre,label
849,balas,v,0,1,0
850,lambat,adj,0,3,0
852,maaf,n,0,1,1
852,nama,n,1,0,1
852,jadi,v,1,1,1
852,nama,n,1,0,1
853,melar,adj,1,0,0
853,bagus,adj,12,0,0
854,untung,n,1,0,0
855,malam,n,0,1,0
855,hasil,n,3,2,0
855,cek,n,2,0,0
856,melar,adj,1,0,0
857,mudah,adj,5,4,0
857,aplikasi,n,1,0,0
857,aplikasi,n,1,0,0
857,agar,k,1,0,0
857,cepat,adj,9,3,0
859,mohon,v,1,0,1
859,maaf,n,0,1,1
859,nama,n,1,0,1
860,baik,adj,12,0,1
860,mohon,v,1,0,1
860,maaf,n,0,1,1
860,nama,n,1,0,1
863,mohon,v,1,0,1
863,maaf,n,0,1,1
863,aplikasi,n,1,0,1
863,jalan,n,1,1,1
864,mohon,v,1,0,1
864,maaf,n,0,1,1
866,aktif,adj,6,2,0
867,kena,v,0,1,0
868,maaf,n,0,1,1
868,nyaman,adj,3,1,1
869,mohon,v,1,0,1
869,maaf,n,0,1,1
869,nama,n,1,0,1
869,cek,n,2,0,1
870,ikhlas,adj,3,0,0
870,dasar,n,3,3,0
870,kapitalis,n,1,0,0
870,kaki,n,1,4,0
870,hidup,v,6,1,0
872,rusak,adj,0,1,0
873,balas,v,0,1,1
873,lupa,v,1,1,1
873,jaga,v,4,4,1
873,sehat,adj,2,0,1
874,cari,v,1,0,0
874,susah,adj,2,10,0
875,ilmu,n,3,0,0
878,cek,n,2,0,1
879,tolong,v,5,0,0
879,kenal,v,3,0,0
879,potong,n,1,1,0
880,baik,adj,12,0,1
880,balas,v,0,1,1
880,jaga,v,4,4,1
880,sehat,adj,2,0,1
882,mohon,v,1,0,1
882,maaf,n,0,1,1
882,alam,n,1,1,1
882,saat,n,1,1,1
883,jelas,adj,15,3,0
883,kaya,adj,2,2,0
884,hana,adj,0,1,1
884,mohon,v,1,0,1
884,maaf,n,0,1,1
884,alam,n,1,1,1
884,saat,n,1,1,1
885,mohon,v,1,0,1
885,maaf,n,0,1,1
885,aplikasi,n,1,0,1
885,jalan,n,1,1,1
886,baik,adj,12,0,1
886,maaf,n,0,1,1
886,nyaman,adj,3,1,1
886,selamat,adj,3,2,1
886,mimpi,n,1,1,1
886,indah,adj,9,1,1
886,salam,n,3,0,1
887,jelek,adj,1,2,0
887,lambat,adj,0,3,0
887,kaya,adj,2,2,0
887,otak,n,3,1,0
889,maaf,n,0,1,1
889,nyaman,adj,3,1,1
889,agar,k,1,0,1
890,pacar,n,1,0,0
890,hilang,v,0,10,0
893,mohon,v,1,0,1
893,maaf,n,0,1,1
894,putus,v,1,2,0
894,problem,n,0,1,0
895,cek,n,2,0,1
896,lambat,adj,0,3,0
896,mati,v,1,4,0
896,lampu,n,5,2,0
897,baik,adj,12,0,0
898,buruk,adj,0,18,0
898,biasa,adj,12,12,0
898,bagus,adj,12,0,0
898,bagus,adj,12,0,0
899,tolong,v,5,0,1
899,cek,n,2,0,1
900,aplikasi,n,1,0,1
902,enak,adj,10,1,0
902,gada,n,1,0,0
904,cek,n,2,0,1
905,mohon,v,1,0,1
905,maaf,n,0,1,1
905,alam,n,1,1,1
905,saat,n,1,1,1
906,cek,n,2,0,1
907,mohon,v,1,0,1
907,maaf,n,0,1,1
907,jadi,v,1,1,1
907,kasih,n,4,0,1
908,mohon,v,1,0,1
908,maaf,n,0,1,1
909,hobi,n,2,0,0
910,wilayah,n,3,1,0
911,korupsi,n,2,0,0
914,gede,adj,3,0,0
914,boros,adj,0,1,0
916,baik,adj,12,0,0
916,pasti,adj,6,6,0
916,sesuai,n,2,0,0
916,salam,n,3,0,0
917,ngeri,adj,0,4,0
918,baik,adj,12,0,0
918,aplikasi,n,1,0,0
921,jalan,n,1,1,1
922,maaf,n,0,1,1
922,manual,adj,0,1,1
922,masuk,v,1,0,1
923,betul,adj,8,1,0
923,pas,n,1,0,0
923,suka,adj,3,1,0
923,hilang,v,0,10,0
923,utama,adj,12,1,0
924,bolak,adj,0,1,0
924,hasil,n,3,2,0
925,maaf,n,0,1,1
925,alam,n,1,1,1
926,kek,n,0,1,0
926,kek,n,0,1,0
927,maaf,n,0,1,1
927,mohon,v,1,0,1
927,nama,n,1,0,1
928,komentar,n,1,0,0
931,bangsat,n,0,7,0
931,main,v,3,0,0
931,hilang,v,0,10,0
932,ragu,adj,1,0,1
933,tolong,v,5,0,0
933,baca,v,1,0,0
936,isi,n,1,0,0
936,lambat,adj,0,3,0
937,cek,n,2,0,1
938,maju,v,5,0,0
938,harap,v,1,1,0
938,khusus,adj,1,1,0
939,ragu,adj,1,0,1
940,nama,n,1,0,1
940,aktif,adj,6,2,1
940,sisa,n,0,1,1
940,bukti,n,4,0,1
941,sumpah,n,1,2,0
942,mohon,v,1,0,1
942,cek,n,2,0,1
942,balas,v,0,1,1
942,salam,n,3,0,1
943,isi,n,1,0,0
943,masuk,v,1,0,0
944,tolong,v,5,0,0
944,cek,n,2,0,0
945,cek,n,2,0,1
947,hujan,n,0,1,0
947,angin,n,2,0,0
947,rusak,adj,0,1,0
948,masuk,v,1,0,0
948,mohon,v,1,0,0
950,cek,n,2,0,1
950,masalah,n,2,7,1
952,mohon,v,1,0,1
952,maaf,n,0,1,1
952,jadi,v,1,1,1
952,kasih,n,4,0,1
953,isi,n,1,0,0
953,lama,adj,1,4,0
953,hilang,v,0,10,0
954,tolong,v,5,0,0
954,cek,n,2,0,0
955,cek,n,2,0,1
955,sesuai,n,2,0,1
956,jelek,adj,1,2,0
958,utama,adj,12,1,0
958,aplikasi,n,1,0,0
959,maaf,n,0,1,1
959,alam,n,1,1,1
960,susah,adj,2,10,0
963,jelek,adj,1,2,0
964,tolong,v,5,0,0
