,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
226,226,111,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
227,227,111,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
228,228,111,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
229,229,113,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
230,230,113,rasa,n,6,4,1,-2.0856095460929054,0.5318025104317268
231,231,113,alam,n,2,2,1,-2.3486439519266993,0.39584155841042357
232,232,114,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
233,233,114,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
234,234,114,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
235,235,114,cek,n,3,1,1,-1.7636814512055428,0.698205267229054
236,236,115,bagus,adj,13,1,0,-4.913174050356011,-0.9297491093368863
237,237,115,aneh,adj,7,10,0,-1.8713538746613836,0.6425500188097761
238,238,116,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
239,239,116,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
240,240,118,baik,adj,13,1,1,-1.455559155843211,0.8574718866800579
241,241,121,lambat,adj,1,4,0,-1.427747223185769,0.8718477126472799
242,242,121,lambat,adj,1,4,0,-1.427747223185769,0.8718477126472799
243,243,123,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
244,244,124,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
245,245,124,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
246,246,125,abang,n,4,1,1,-1.6705720468140612,0.7463329759334487
247,247,125,abang,n,4,1,1,-1.6705720468140612,0.7463329759334487
248,248,125,ikhlas,adj,4,1,1,-1.6705720468140612,0.7463329759334487
249,249,126,tolong,v,6,1,0,-3.9131740503560106,-0.41285493501653425
250,250,126,baca,v,2,1,0,-2.6907816290195625,0.2189925863056248
251,251,127,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
252,252,127,balas,v,1,2,1,-2.9336064526478554,0.0934778495917934
253,253,127,cek,n,3,1,1,-1.7636814512055428,0.698205267229054
254,254,129,lengkap,adj,4,1,1,-1.6705720468140612,0.7463329759334487
255,255,130,baik,adj,13,1,1,-1.455559155843211,0.8574718866800579
256,256,131,baik,adj,13,1,1,-1.455559155843211,0.8574718866800579
257,257,132,lambat,adj,1,4,0,-1.427747223185769,0.8718477126472799
258,258,132,lambat,adj,1,4,0,-1.427747223185769,0.8718477126472799
259,259,132,posisi,n,3,2,0,-2.427747223185769,0.3549535383269278
260,260,132,wilayah,n,4,2,0,-2.6907816290195625,0.2189925863056248
261,261,132,pusat,n,3,1,0,-3.1058191282984065,0.004462120803903069
262,262,133,lambat,adj,1,4,1,-3.6705720468140615,-0.2874553727072554
263,263,133,lengkap,adj,4,1,1,-1.6705720468140612,0.7463329759334487
264,264,135,kenan,v,1,2,1,-2.9336064526478554,0.0934778495917934
265,265,135,panggil,v,5,2,1,-1.8340707790969408,0.6618214337076653
266,266,136,prioritas,n,2,2,1,-2.3486439519266993,0.39584155841042357
267,267,136,kasih,n,5,1,1,-1.611678357760493,0.7767747807094725
268,268,136,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
269,269,136,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
270,270,138,cek,n,3,1,1,-1.7636814512055428,0.698205267229054
271,271,139,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
272,272,139,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
273,273,139,prioritas,n,2,2,1,-2.3486439519266993,0.39584155841042357
274,274,140,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
275,275,141,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
276,276,141,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
277,277,141,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
278,278,142,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
279,279,142,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
280,280,142,prioritas,n,2,2,1,-2.3486439519266993,0.39584155841042357
281,281,143,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
282,282,143,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
283,283,143,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
284,284,144,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
285,285,144,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
286,286,145,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
287,287,145,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
288,288,146,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
289,289,147,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
290,290,147,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
291,291,147,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
292,292,148,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
293,293,150,pemberitahuan,n,1,2,0,-1.6907816290195627,0.7358867606259765
294,294,150,kasih,n,5,1,0,-3.6907816290195625,-0.2979015880147271
295,295,150,kecewa,adj,1,4,0,-1.427747223185769,0.8718477126472799
296,296,151,indah,adj,10,2,1,-1.611678357760493,0.7767747807094725
297,297,151,lengkap,adj,4,1,1,-1.6705720468140612,0.7463329759334487
298,298,152,buat,v,2,2,0,-2.1058191282984065,0.5213562951242552
