,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
1244,1244,759,tanda,n,5,3,1,-2.3891870052472006,0.4765488655443322
1245,1245,759,ubah,v,1,2,1,-3.2960776008557193,0.024624548382706113
1246,1246,759,wajah,n,2,4,1,-3.2960776008557193,0.024624548382706113
1247,1247,759,buka,v,2,3,1,-3.0330431950219254,0.1557006063130335
1248,1248,760,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1249,1249,760,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1250,1250,761,simpati,n,2,5,1,-3.518470022192167,-0.08619867951388127
1251,1251,762,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1252,1252,762,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1253,1253,763,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1254,1254,763,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1255,1255,766,ngeri,adj,1,5,1,-4.296077600855719,-0.4736983136582077
1256,1256,768,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1257,1257,769,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1258,1258,769,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1259,1259,771,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1260,1260,771,tipu,n,2,3,0,-2.001726331474253,0.6696293774271682
1261,1261,773,privasi,n,3,1,0,-3.264760737308047,0.040230457455926905
1262,1262,773,jaga,v,5,5,0,-2.264760737308047,0.5385533194968408
1263,1263,773,cek,n,3,1,0,-3.264760737308047,0.040230457455926905
1264,1264,774,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1265,1265,774,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1266,1266,775,hambat,v,2,2,0,-2.264760737308047,0.5385533194968408
1267,1267,776,rasa,n,6,4,0,-2.586688832195409,0.3781291898811916
1268,1268,776,lambat,adj,1,4,0,-1.5866888321954091,0.8764520519221055
1269,1269,776,malang,adj,1,7,0,-1.4574058152504428,0.9408767349394052
1270,1270,777,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1271,1271,777,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1272,1272,778,tukar,v,2,2,1,-2.7111151001345632,0.31612473592868273
1273,1273,778,tipu,n,2,3,1,-3.0330431950219254,0.1557006063130335
1274,1274,779,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1275,1275,779,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1276,1276,780,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1277,1277,780,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1278,1278,781,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1279,1279,781,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1280,1280,782,lambat,adj,1,4,0,-1.5866888321954091,0.8764520519221055
1281,1281,783,kasih,n,5,1,0,-3.849723238029203,-0.2512697300900496
1282,1282,784,proses,n,1,2,0,-1.8497232380292032,0.7453759939917779
1283,1283,785,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1284,1284,785,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1285,1285,786,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
